site_id,site_name,region,month_start,scheduled_events,completed_services,active_members,completion_rate,target_attainment,prior_month_services,month_over_month_change,rolling_3m_services,monthly_site_rank
S008,Park,West,2025-09-01,41,33,33,0.805,0.579,25,0.32,33.7,1
S003,Cedar,East,2025-09-01,34,28,28,0.824,0.538,28,0.0,31.0,2
S004,Lakeside,West,2025-09-01,36,31,31,0.861,0.534,34,-0.088,35.7,3
S002,Riverside,South,2025-09-01,38,32,32,0.842,0.533,35,-0.086,34.3,4
S006,Juniper,South,2025-09-01,39,29,29,0.744,0.518,28,0.036,32.3,5
S005,Meadow,North,2025-09-01,28,25,25,0.893,0.5,27,-0.074,26.7,6
S001,Harbor,North,2025-09-01,35,24,24,0.686,0.436,36,-0.333,35.7,7
S007,Summit,East,2025-09-01,8,3,3,0.375,0.056,26,-0.885,21.3,8
S001,Harbor,North,2025-10-01,44,35,35,0.795,0.636,24,0.458,31.7,1
S004,Lakeside,West,2025-10-01,46,35,35,0.761,0.603,31,0.129,33.3,2
S002,Riverside,South,2025-10-01,47,34,34,0.723,0.567,32,0.063,33.7,3
S008,Park,West,2025-10-01,36,29,29,0.806,0.509,33,-0.121,29.0,4
S005,Meadow,North,2025-10-01,32,24,24,0.75,0.48,25,-0.04,25.3,5
S003,Cedar,East,2025-10-01,40,24,24,0.6,0.462,28,-0.143,26.7,6
S006,Juniper,South,2025-10-01,31,24,24,0.774,0.429,29,-0.172,27.0,7
S007,Summit,East,2025-10-01,11,6,6,0.545,0.111,3,1.0,11.7,8
S008,Park,West,2025-11-01,45,34,34,0.756,0.596,29,0.172,32.0,1
S004,Lakeside,West,2025-11-01,38,33,33,0.868,0.569,35,-0.057,33.0,2
S001,Harbor,North,2025-11-01,34,28,28,0.824,0.509,35,-0.2,29.0,3
S003,Cedar,East,2025-11-01,34,26,26,0.765,0.5,24,0.083,26.0,4
S002,Riverside,South,2025-11-01,38,28,28,0.737,0.467,34,-0.176,31.3,5
S005,Meadow,North,2025-11-01,29,22,22,0.759,0.44,24,-0.083,23.7,6
S006,Juniper,South,2025-11-01,29,24,24,0.828,0.429,24,0.0,25.7,7
S007,Summit,East,2025-11-01,5,4,4,0.8,0.074,6,-0.333,4.3,8
S008,Park,West,2025-12-01,37,27,27,0.73,0.474,34,-0.206,30.0,1
S001,Harbor,North,2025-12-01,34,26,26,0.765,0.473,28,-0.071,29.7,2
S006,Juniper,South,2025-12-01,31,25,25,0.806,0.446,24,0.042,24.3,3
S005,Meadow,North,2025-12-01,30,22,22,0.733,0.44,22,0.0,22.7,4
S003,Cedar,East,2025-12-01,25,22,22,0.88,0.423,26,-0.154,24.0,5
S004,Lakeside,West,2025-12-01,31,22,22,0.71,0.379,33,-0.333,30.0,6
S002,Riverside,South,2025-12-01,28,22,22,0.786,0.367,28,-0.214,28.0,7
S007,Summit,East,2025-12-01,17,5,5,0.294,0.093,4,0.25,5.0,8
